gene_id	KO_1	KO_2	KO_3	WT_1	WT_2	WT_3
ENSG00000003137	1176	1198	1117	1075	1076	1030
ENSG00000003393	758	745	747	619	638	660
ENSG00000003400	212	216	249	210	210	211
ENSG00000003402	1210	1295	1304	1192	1343	1147
ENSG00000003436	2606	3005	2631	2367	2710	2075
ENSG00000003509	1218	1188	1226	1397	1593	1293
ENSG00000005436	1368	1367	1295	1299	1314	1240
ENSG00000005448	409	441	422	422	395	387
ENSG00000006607	2363	2410	2456	2941	3012	2642
ENSG00000007001	0	0	0	0	0	0
ENSG00000008869	1231	1299	1301	1408	1573	1408
ENSG00000011523	986	924	977	1241	1356	1143
ENSG00000011566	1731	1688	1805	1799	1994	1699
ENSG00000013016	0	0	0	0	0	0
ENSG00000013441	832	580	898	925	692	835
ENSG00000014641	9928	9796	10292	9200	9939	8711
ENSG00000015568	7	17	124	22	35	12
ENSG00000018280	10	12	14	8	15	16
ENSG00000018510	4689	4685	4569	5229	5780	4802
ENSG00000018607	0	0	0	0	0	0
ENSG00000018699	2651	2569	2459	2900	3065	2679
ENSG00000019169	27	21	24	2	5	4
ENSG00000021574	2895	3018	2864	3576	4065	3205
ENSG00000021826	100012	94227	99532	118259	122597	109604
ENSG00000023228	7244	7438	7332	7469	8383	7114
ENSG00000028116	2599	2661	2503	2785	3046	2790
ENSG00000030419	2	3	3	1	1	4
ENSG00000032389	731	745	695	939	950	835
ENSG00000034510	31611	32853	31097	33471	32290	30894
ENSG00000035115	66	60	61	62	68	50
ENSG00000035141	4125	4186	4092	5834	5980	5380
ENSG00000036257	5198	5112	4757	5507	5625	4986
ENSG00000040933	1111	1250	1093	1094	1335	1047
ENSG00000042304	0	0	0	0	0	0
ENSG00000042445	3209	3394	3143	4017	3996	3492
ENSG00000042493	4659	4968	4713	3711	3731	3447
ENSG00000048991	3614	3959	3554	4271	4565	3988
ENSG00000049323	486	399	506	147	156	159
ENSG00000054219	7	8	9	2	7	2
ENSG00000054356	1	1	0	0	0	1
ENSG00000055044	8629	8245	7700	9730	9357	7936
ENSG00000055332	6466	6703	6194	8609	9431	7778
ENSG00000055813	0	0	0	2	0	1
ENSG00000055917	5154	5089	4890	5433	6132	5044
ENSG00000057935	1589	1661	1721	1924	1897	1734
ENSG00000059728	730	668	766	503	483	436
ENSG00000061676	8824	9308	8541	9748	11334	8934
ENSG00000063660	2230	2475	2233	2560	2709	2417
ENSG00000064012	1113	1199	1120	1556	1650	1406
ENSG00000064933	755	762	735	808	951	715
ENSG00000064989	1	1	2	0	3	2
ENSG00000065413	307	325	389	340	390	338
ENSG00000065548	4403	4330	4136	4790	4537	4005
ENSG00000065802	1052	1131	1188	1368	1503	1278
ENSG00000065911	12741	12301	12426	14939	15416	13355
ENSG00000066032	0	0	0	0	0	0
ENSG00000066248	492	514	475	406	397	437
ENSG00000067066	548	575	561	565	575	518
ENSG00000068024	1457	1497	1317	2247	2589	1952
ENSG00000068615	831	764	893	509	510	514
ENSG00000068654	7410	7918	6962	8576	9169	7927
ENSG00000068697	7393	7620	7384	6156	7179	5893
ENSG00000068724	2808	2686	2866	3078	3008	2913
ENSG00000068781	0	0	0	0	0	0
ENSG00000068784	1130	1088	1059	1274	1220	1139
ENSG00000068878	6429	7055	6270	8177	9394	7527
ENSG00000068912	2862	3149	2837	3239	3673	3050
ENSG00000071051	11	18	7	3	7	10
ENSG00000071054	9005	9078	8450	9184	9837	8341
ENSG00000071073	1258	1316	1356	726	821	725
ENSG00000071082	17784	17693	17820	18940	20745	17379
ENSG00000071575	0	0	1	0	1	0
ENSG00000071677	0	0	0	0	0	0
ENSG00000071909	3	3	2	1	5	5
ENSG00000071967	1396	1263	1593	933	1035	1051
ENSG00000072080	9	13	12	9	11	9
ENSG00000072135	724	708	634	847	797	706
ENSG00000072163	254	287	275	136	167	153
ENSG00000072182	1	5	0	1	0	0
ENSG00000072195	848	938	1033	549	653	544
ENSG00000073734	18	20	13	10	17	6
ENSG00000073737	0	0	0	0	0	1
ENSG00000074047	534	656	543	746	838	715
ENSG00000074054	3405	3592	3592	3908	4254	3879
ENSG00000074582	875	923	821	1066	1143	931
ENSG00000075292	6263	6549	6751	7573	7911	7192
ENSG00000075340	6	6	9	8	18	5
ENSG00000075426	7193	7312	6412	7080	7971	6554
ENSG00000075568	2959	3128	2847	2781	3207	2771
ENSG00000075884	0	0	2	1	2	1
ENSG00000075886	0	0	0	0	0	0
ENSG00000076003	7349	7714	7778	7476	7879	6791
ENSG00000077044	5508	5494	5291	4952	5880	4591
ENSG00000077232	5516	5472	5634	6381	6687	5553
ENSG00000077380	3542	3641	3469	3508	3815	3249
ENSG00000078018	3	5	1	2	5	3
ENSG00000078098	114	112	154	79	126	119
ENSG00000079150	121	119	129	162	173	169
ENSG00000079156	127	146	139	125	119	100
ENSG00000079246	22816	22825	22747	24760	26236	22381
ENSG00000079263	3	1	0	0	0	0
ENSG00000079308	2113	2360	2359	2208	2140	2140
ENSG00000079785	9780	9491	9262	9892	10270	8555
ENSG00000080293	0	0	0	0	0	0
ENSG00000080345	7010	7652	6967	8043	9569	7160
ENSG00000081052	1374	1278	1563	650	911	812
ENSG00000081320	717	697	732	773	759	667
ENSG00000081479	0	1	0	0	4	0
ENSG00000082126	5	4	6	4	4	5
ENSG00000082146	577	553	571	834	803	784
ENSG00000082153	16649	18602	15917	18000	19151	15206
ENSG00000082258	1636	1591	1592	1783	2066	1670
ENSG00000082438	3250	3175	3558	3389	3970	3587
ENSG00000082898	27866	28224	26734	37177	39114	31699
ENSG00000084090	12043	11657	10870	14427	14590	12298
ENSG00000084674	0	0	3	0	0	0
ENSG00000084676	826	880	868	1016	952	952
ENSG00000084693	1530	1637	1622	1554	1769	1593
ENSG00000084710	1913	1932	1951	1115	998	915
ENSG00000084731	514	615	625	313	345	329
ENSG00000084733	7023	7052	7054	7384	7686	7036
ENSG00000084734	0	0	0	0	0	0
ENSG00000084754	6764	6756	7122	7079	7114	6799
ENSG00000084764	186	195	189	81	108	81
ENSG00000084774	6713	7430	6320	8286	9084	7525
ENSG00000085449	2705	2792	2802	2585	2896	2524
ENSG00000085760	3512	3778	3289	4364	4432	3758
ENSG00000085978	1405	1338	1365	1467	1643	1325
ENSG00000085982	1166	1252	1144	1174	1441	1218
ENSG00000087338	1507	1560	1564	1758	1880	1648
ENSG00000088179	1619	1552	1778	1730	1891	1639
ENSG00000088205	10181	10189	9276	12030	12635	10023
ENSG00000091106	0	0	0	0	0	0
ENSG00000091409	3039	3521	2891	2788	3389	2783
ENSG00000091428	23	32	38	23	22	19
ENSG00000091436	4262	4533	4498	4184	4711	4023
ENSG00000095002	5968	6158	6190	6403	6769	5741
ENSG00000108442	0	0	0	0	0	0
ENSG00000114923	54	63	33	17	26	22
ENSG00000114933	833	921	930	1044	1202	1003
ENSG00000114942	13027	12917	12548	13016	12892	11307
ENSG00000114948	0	1	0	1	0	0
ENSG00000114956	1434	1609	1436	1613	1716	1566
ENSG00000114978	9459	8964	9306	9877	10661	9373
ENSG00000114982	4113	3847	3918	3978	3938	3929
ENSG00000114988	856	970	850	1230	1227	1054
ENSG00000114993	672	676	717	902	902	831
ENSG00000114999	7152	7563	7203	7943	8698	7291
ENSG00000115008	10	3	1	1	0	2
ENSG00000115009	0	2	1	0	0	0
ENSG00000115020	2512	2620	2589	2493	2942	2587
ENSG00000115041	446	375	417	407	389	372
ENSG00000115042	941	949	929	851	886	831
ENSG00000115053	81030	78768	68092	93045	89673	74817
ENSG00000115073	1581	1615	1598	1976	1995	1701
ENSG00000115084	4885	5372	5213	4791	5841	5016
ENSG00000115085	15	11	13	11	14	7
ENSG00000115091	12561	12805	12266	11717	13624	11300
ENSG00000115107	3101	3315	3102	3105	3172	2982
ENSG00000115109	1049	1085	1101	1068	1191	997
ENSG00000115112	0	0	2	0	0	1
ENSG00000115128	2629	2643	2590	2539	2718	2377
ENSG00000115129	562	550	504	408	462	407
ENSG00000115137	150	149	133	163	161	147
ENSG00000115138	0	0	0	0	0	0
ENSG00000115145	1156	1149	1149	924	1013	1054
ENSG00000115155	2	6	5	0	2	7
ENSG00000115159	4796	4842	4894	6290	6942	5809
ENSG00000115163	940	865	825	1004	1032	875
ENSG00000115165	1	2	1	0	1	1
ENSG00000115170	502	521	467	396	447	443
ENSG00000115183	2460	2480	2568	2416	2441	2115
ENSG00000115194	6	4	8	9	9	6
ENSG00000115204	915	999	948	827	833	710
ENSG00000115207	4616	4827	4561	5351	5512	5029
ENSG00000115211	1161	1274	1088	1012	1120	931
ENSG00000115216	3408	3645	3158	3168	3331	3114
ENSG00000115221	18	13	19	3	10	5
ENSG00000115226	0	0	0	0	0	0
ENSG00000115232	0	0	0	0	0	0
ENSG00000115233	5411	5348	4918	5841	6096	4998
ENSG00000115234	2565	2659	2522	2566	2946	2414
ENSG00000115239	939	965	983	1224	1381	1195
ENSG00000115241	9905	9357	8785	11345	11131	9978
ENSG00000115252	807	739	951	1024	1081	966
ENSG00000115263	0	0	0	0	0	0
ENSG00000115267	200	141	166	239	205	217
ENSG00000115271	75	82	93	132	142	123
ENSG00000115274	598	612	570	748	699	731
ENSG00000115275	2345	2391	2504	2964	3200	2852
ENSG00000115282	951	975	1058	1039	1098	945
ENSG00000115289	414	404	427	490	539	496
ENSG00000115290	1	1	0	6	6	1
ENSG00000115295	157	131	131	261	363	285
ENSG00000115297	0	1	0	0	0	0
ENSG00000115306	32536	34918	31587	26954	30540	26084
ENSG00000115307	5609	6102	5336	6452	6538	5742
ENSG00000115310	13181	14024	12621	14947	15681	13669
ENSG00000115317	905	945	960	1177	1418	1235
ENSG00000115318	95	108	88	103	119	104
ENSG00000115325	346	367	347	352	416	302
ENSG00000115339	0	0	0	1	0	1
ENSG00000115350	926	1009	938	889	877	795
ENSG00000115353	1	1	1	0	0	0
ENSG00000115355	4153	4537	4207	5433	5972	5347
ENSG00000115361	2	2	7	6	14	5
ENSG00000115363	64	86	79	42	57	34
ENSG00000115364	7052	7166	7065	8140	9054	7562
ENSG00000115365	5538	5617	5855	6348	7486	6555
ENSG00000115368	3030	3095	2714	3486	3681	3073
ENSG00000115380	10429	11723	10421	10733	13128	11115
ENSG00000115386	0	0	0	0	0	0
ENSG00000115392	1078	1090	1253	1273	1520	1163
ENSG00000115414	64	64	80	33	39	36
ENSG00000115415	3757	3654	3666	3198	3502	3031
ENSG00000115419	4582	4774	4928	3408	4366	3492
ENSG00000115421	901	836	942	1021	1078	979
ENSG00000115423	5	13	18	4	4	4
ENSG00000115425	267	235	305	206	247	199
ENSG00000115446	1368	1457	1316	1442	1584	1369
ENSG00000115457	6	10	9	7	10	12
ENSG00000115459	301	331	307	280	344	282
ENSG00000115461	63	43	96	27	22	30
ENSG00000115464	8459	9573	8357	9683	11817	9393
ENSG00000115468	53	37	34	68	72	74
ENSG00000115474	0	0	0	0	0	0
ENSG00000115484	22666	22653	20947	22255	23446	19946
ENSG00000115486	2100	2208	1962	1798	2118	1804
ENSG00000115488	12	12	13	24	21	15
ENSG00000115504	1974	2009	2023	2243	2390	2088
ENSG00000115507	379	390	396	666	730	712
