gene_id	KO_1	KO_2	KO_3	WT_1	WT_2	WT_3
ENSG00000003137	202.32355	198.630443	209.798197	151.408306	154.295033	178.418536
ENSG00000003393	149.34839	145.37976	134.234551	128.145636	94.785585	117.779895
ENSG00000003400	33.563469	32.964378	41.621838	28.694712	27.776085	32.493424
ENSG00000003402	312.573889	309.216285	352.04041	271.11779	257.591875	300.563188
ENSG00000003436	1118.214622	1348.938607	1223.60752	959.385433	996.529551	895.899046
ENSG00000003509	531.873276	493.291831	522.746845	504.200021	603.837637	558.578166
ENSG00000005436	579.959867	559.919823	556.860412	510.113679	483.429857	559.417396
ENSG00000005448	239.657997	256.748444	261.13767	225.90053	204.40577	218.912974
ENSG00000006607	452.423168	481.016896	519.090648	503.357281	511.597117	521.294331
ENSG00000007001	0	0	0	0	0	0
ENSG00000008869	130.484705	133.410749	141.168383	133.206211	135.208482	148.206771
ENSG00000011523	115.912675	103.708577	118.234968	126.281353	135.12287	129.876167
ENSG00000011566	341.635485	367.294987	395.686923	349.210849	376.438812	354.307598
ENSG00000013016	0	0	0	0	0	0
ENSG00000013441	343.050311	276.385225	367.868679	329.44395	254.765646	364.371255
ENSG00000014641	6367.229564	6202.181504	6745.949262	5380.828147	5677.684917	5781.576806
ENSG00000015568	6.9859	14.952782	19.80415	12.40487	17.826997	11.506455
ENSG00000018280	1.210264	4.020104	2.840683	1.676686	2.179444	2.148019
ENSG00000018510	1083.785489	1004.092333	1008.341998	1038.005459	1120.446132	1103.725111
ENSG00000018607	0	0	0	0	0	0
ENSG00000018699	651.106905	633.957697	638.663813	667.415129	664.334044	692.813898
ENSG00000019169	8.940839	5.748536	7.181933	0.6023	1.226368	1.281032
ENSG00000021574	529.348057	527.656411	530.143649	601.574696	639.985137	603.72214
ENSG00000021826	12214.412755	11696.726771	12378.154701	13284.668269	13476.312515	13654.743877
ENSG00000023228	1368.359	1375.43329	1454.816066	1410.676983	1487.149501	1480.422448
ENSG00000028116	670.199581	692.189908	670.294604	676.523836	698.10109	766.719916
ENSG00000030419	0.65455	0.953292	0.275948	0.192934	0.078355	0.369636
ENSG00000032389	238.050165	244.471421	230.855188	294.632636	267.786529	263.755934
ENSG00000034510	43974.909666	45013.246222	44251.562819	40596.601772	38903.398386	39607.342787
ENSG00000035115	24.12757	30.091118	25.595435	30.516729	28.742392	22.273285
ENSG00000035141	1605.6225	1614.09251	1621.25523	2061.507324	2039.624331	2110.006502
ENSG00000036257	1234.440045	1225.18595	1195.801193	1190.455707	1174.785351	1197.048602
ENSG00000040933	116.457775	134.56786	125.58856	112.95606	136.573549	110.354814
ENSG00000042304	0	0	0	0	0	0
ENSG00000042445	679.921786	704.074949	670.814501	760.341874	731.080229	719.630949
ENSG00000042493	2109.696725	2202.633708	2145.424945	1514.066745	1484.271947	1480.431316
ENSG00000048991	613.036249	646.071388	607.780008	612.102314	608.045875	638.721554
ENSG00000049323	65.751269	54.659762	72.322127	16.456648	17.042621	19.47744
ENSG00000054219	0.806908	0.889893	1.486815	0.251457	0.784337	0.259391
ENSG00000054356	0.14348	0.516212	0	0	0	0.493379
ENSG00000055044	3677.135318	3302.981616	3518.62493	3760.092424	3618.874908	3561.387203
ENSG00000055332	682.351983	675.338133	686.85964	769.31728	805.53318	777.43063
ENSG00000055813	0	0	0	0.301798	0	0.160769
ENSG00000055917	722.433392	753.550511	742.105378	730.801921	841.197956	739.520863
ENSG00000057935	507.245254	539.542795	580.863096	564.988622	565.293343	567.471105
ENSG00000059728	94.269422	85.381622	101.162781	59.296634	56.583415	55.886837
ENSG00000061676	1641.533142	1730.350676	1684.583033	1685.690511	1865.591204	1746.234354
ENSG00000063660	295.587437	322.014547	304.621439	303.296839	309.550005	301.208997
ENSG00000064012	297.79097	341.637709	342.534447	404.004388	388.712321	424.785829
ENSG00000064933	241.438586	213.669221	233.592461	218.825067	236.783436	205.632761
ENSG00000064989	0.258194	0.25663	0.535912	0	2.575208	1.506822
ENSG00000065413	55.30162	81.148371	70.838761	43.3764	50.922166	57.099907
