"gene_symbol","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"WDR35",778.864531145501,-1.79842336508453,0.0994255998949172,-18.0881318994835,3.95259843842571e-73,3.6442957602285e-70
"EPAS1",8542.20364817726,0.902766513488764,0.0546216785186366,16.527623060517,2.32118141379156e-61,1.04460742529997e-58
"CRIM1",11400.8645323515,0.924552466593273,0.0560178148725177,16.504614981811,3.39893956171356e-61,1.04460742529997e-58
"EFR3B",1491.64242509273,1.06064451516592,0.0809009290805677,13.1104120461911,2.87034694655735e-39,6.61614971181469e-37
"LTBP1",324.199218590812,1.84776036304374,0.15127918985203,12.2142402061452,2.60927710640109e-34,4.81150698420362e-32
"KRCC1",173.537663664285,2.22266105554678,0.195181103202378,11.3876856882101,4.8161178261057e-30,7.40076772611576e-28
"ATG4B",986.229176253639,-1.1298922990728,0.100755800884473,-11.2141662232266,3.47445238021041e-29,4.57635013507713e-27
"TGFA",228.227229121872,1.91254952538192,0.172382483819694,11.0948019949775,1.32954103109489e-28,1.53229603833686e-26
"RAPH1",4105.04697970175,0.54769891797175,0.0539483978592302,10.1522740193487,3.23730694861983e-24,3.31644111847498e-22
"CAPG",4229.69161057642,0.511237665916281,0.0517538499243444,9.87825382389187,5.17263837645642e-23,4.76917258309282e-21
"COL4A3",410.031300446382,1.30645790650074,0.132464341663407,9.86271392055429,6.03944942884456e-23,5.06215670308608e-21
"VIT",308.410385896113,1.56600210427074,0.168493893131483,9.29411787671565,1.4843187581401e-20,1.14045157917098e-18
"SCN9A",74.5565597028719,-2.92250334849589,0.31981680093737,-9.13805447346777,6.35859054177797e-20,4.50970806116868e-18
"SOWAHC",3024.34928581434,-0.491203571102573,0.055463510878985,-8.85633749681521,8.26862827102895e-19,5.44548233277764e-17
"TGFBRAP1",2447.74214447942,-0.600678578729217,0.0684571092635048,-8.77452444591383,1.71627590397488e-18,1.05493758897656e-16
"KLHL29",1124.74661740269,0.62415965817833,0.0729729038894055,8.55330711690299,1.19611092311425e-17,6.89258919444589e-16
"UGP2",7030.51689724729,0.427095820643866,0.050025818346297,8.5375079261543,1.37147566867702e-17,7.43823862658946e-16
"KIF3C",466.535738649971,1.01884944782767,0.122624731019223,8.30867835027461,9.67738435400401e-17,4.9569713191065e-15
