"gene_symbol","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"WDR35",778.864531145501,-1.79842336508453,0.0994255998949172,-18.0881318994835,3.95259843842571e-73,3.6442957602285e-70
"EFR3B",1491.64242509273,1.06064451516592,0.0809009290805677,13.1104120461911,2.87034694655735e-39,6.61614971181469e-37
"LTBP1",324.199218590812,1.84776036304374,0.15127918985203,12.2142402061452,2.60927710640109e-34,4.81150698420362e-32
"KRCC1",173.537663664285,2.22266105554678,0.195181103202378,11.3876856882101,4.8161178261057e-30,7.40076772611576e-28
"ATG4B",986.229176253639,-1.1298922990728,0.100755800884473,-11.2141662232266,3.47445238021041e-29,4.57635013507713e-27
"TGFA",228.227229121872,1.91254952538192,0.172382483819694,11.0948019949775,1.32954103109489e-28,1.53229603833686e-26
"COL4A3",410.031300446382,1.30645790650074,0.132464341663407,9.86271392055429,6.03944942884456e-23,5.06215670308608e-21
"VIT",308.410385896113,1.56600210427074,0.168493893131483,9.29411787671565,1.4843187581401e-20,1.14045157917098e-18
"SCN9A",74.5565597028719,-2.92250334849589,0.31981680093737,-9.13805447346777,6.35859054177797e-20,4.50970806116868e-18
"KIF3C",466.535738649971,1.01884944782767,0.122624731019223,8.30867835027461,9.67738435400401e-17,4.9569713191065e-15
"DYSF",335.826431009588,1.09203726271201,0.163805279168292,6.6666792929797,2.61655992305066e-11,8.04156083017569e-10
"RBKS",166.055061621257,1.11356437072683,0.18263336634403,6.09726685226397,1.07897319705388e-09,2.48703321920919e-08
"MYO7B",62.6468104697063,2.00201955229277,0.335963069903175,5.95904648945419,2.53713920913476e-09,5.44009849028431e-08
"MAPRE3",140.229406573074,1.11838986217226,0.188462775918896,5.93427458934146,2.95147514202098e-09,6.04724462431855e-08
"IL1R1",39.5432234220274,2.47683400387443,0.423282390852754,5.85149313413334,4.87179398294709e-09,8.98358810455444e-08
"APLF",54.1142545933477,1.82849431888788,0.312467545195011,5.85178956024605,4.86311708497708e-09,8.98358810455444e-08
"ADRA2B",18.7237320435697,3.77278821427955,0.686125395436286,5.49868615762363,3.82631451407784e-08,6.41429451269048e-07
"PDE11A",27.5880181425329,-2.66073049752516,0.484576101002095,-5.49084136015542,4.00023538507851e-08,6.58610183043283e-07
"ASTL",20.5204830647091,3.3304030713139,0.615660501524229,5.4094798400557,6.320806529679e-08,9.87759935654921e-07
"NPHP1",64.2006741402727,1.54448515090658,0.290818372262336,5.31082386195794,1.09130765434893e-07,1.67697609551618e-06
"HES6",146.401398016259,1.00702114153051,0.191354983627468,5.26258121132077,1.42046885929293e-07,2.1123746584969e-06
"ALPG",165.447321046893,-1.26095821736214,0.252658563971275,-4.99075985212001,6.0142232659222e-07,8.0363968857685e-06
"ARL4C",26.5405838640256,2.4256981690726,0.496242500958513,4.88813063046245,1.01797977359312e-06,1.30357965451785e-05
"IL1RN",9.09127158050956,6.67549671168654,1.37769951539923,4.84539381561161,1.26360779772918e-06,1.57438701284636e-05
"INHBB",19.4467803785352,2.52711362491314,0.565003427387376,4.47274034530858,7.72235261776951e-06,7.4166761599828e-05
"RPRM",25.8282732191688,-2.23426116975129,0.501216750636469,-4.45767458273116,8.28535521625539e-06,7.71626011049239e-05
"MARCO",14.1191984956463,2.79091195443056,0.686471013907089,4.06559329948387,4.79104224524808e-05,0.000384116604358151
"GPR35",15.3552765730535,2.46070823597578,0.61848242791789,3.97862271408375,6.93156328873681e-05,0.000515395270339947
"ENSG00000180178",32.1646543053014,-1.73408912900445,0.444154168800678,-3.90425048511174,9.45178490175463e-05,0.000670349667647521
"IGFBP5",47.8702798614953,1.47259078435206,0.390407752494452,3.77193018054371,0.000161989588278703,0.00107449208915802
"LONRF2",10.4422033133366,3.00799381644541,0.840585769002225,3.57844960903383,0.000345638490547485,0.00211045488930319
"CMKLR2",52.7605861024478,1.05405728821199,0.304566939957623,3.46083947377429,0.000538493811289105,0.00310307058755347
"CAVIN2",28.7033225968231,1.51184242135604,0.441216613785923,3.42653103740464,0.000611343890672238,0.00345803108711536
"WNT10A",11.5021722167334,2.66845738781506,0.806915974691517,3.30698297159776,0.000943066245928227,0.00502605247829957
"SLC4A3",36.7531881349467,1.31724669855194,0.421710032739198,3.12358397071045,0.00178662877275613,0.00853508667606816
"PROM2",49.2719712809683,1.42184407908865,0.466648554674399,3.04692699644325,0.00231193852312028,0.0105525114768163
"LOC442041",21.0390514658045,-1.6126746789412,0.54526208232376,-2.95761383602618,0.00310030249991405,0.0133573780603773
"GKN1",36.4933420281313,1.04828536204707,0.373448263582205,2.80704307469974,0.00499985555061383,0.0203183631211913
"CYP4F27P",16.3782255243899,-1.62697079621197,0.588627596306093,-2.76400699936931,0.00570963145282058,0.0226908629288818
"PLCD4",46.9301119131492,1.01057346998337,0.3712927492289,2.72177001054324,0.00649333154047166,0.0253680155945545
"SH2D6",24.7172225252343,1.20231942988608,0.473693649266531,2.53817933119381,0.0111430868772208,0.0407695480190379
